?	hoàng tử	hoàng tử	N	root	['hoàng tử', 'ROOT']	[1, 0]
?	bé	bé	ADJ	amod	['bé', 'hoàng tử']	[2, 1]
?	Saint-Exupéry	saint-exupéry	PROPN	nmod	['saint-exupéry', 'hoàng tử']	[3, 1]
?	dịch	dịch	VERB	appos:nmod	['dịch', 'saint-exupéry']	[7, 3]
?	Vĩnh	vĩnh	PROPN	nsubj	['vĩnh', 'dịch']	[5, 7]
?	Lạc	lạc	PROPN	flat:name	['lạc', 'vĩnh']	[6, 5]

?	bản sao	bản sao	N	root	['bản sao', 'ROOT']	[3, 0]
?	đây	đây	PROPN	nsubj	['đây', 'bản sao']	[1, 3]
?	là	là	AUX	cop	['là', 'bản sao']	[2, 3]
?	tranh	tranh	N	nmod:poss	['tranh', 'bản sao']	[6, 3]
?	của	của	ADV	case	['của', 'tranh']	[4, 6]
?	bức	bức	N	det:clf	['bức', 'tranh']	[5, 6]
?	đó	đó	PROPN	det:pmod	['đó', 'tranh']	[7, 6]

?	trả lời	trả lời	VERB	root	['trả lời', 'ROOT']	[2, 0]
?	họ	họ	PROPN	nsubj	['họ', 'trả lời']	[1, 2]

?	vẽ	vẽ	VERB	root	['vẽ', 'ROOT']	[6, 0]
?	bức	bức	N	nsubj	['bức', 'vẽ']	[1, 6]
?	vẽ	vẽ	VERB	acl:tonp	['vẽ', 'bức']	[2, 1]
?	tôi	tôi	PROPN	nmod:poss	['tôi', 'bức']	[4, 1]
?	của	của	ADV	case	['của', 'tôi']	[3, 4]
?	không	không	ADV	advmod:neg	['không', 'vẽ']	[5, 6]
?	mũ	mũ	N	obj	['mũ', 'vẽ']	[9, 6]
?	một	một	NUM	nummod	['một', 'mũ']	[7, 9]
?	cái	cái	N	clf	['cái', 'một']	[8, 7]

?	nói	nói	VERB	root	['nói', 'ROOT']	[2, 0]
?	người ta	người ta	N	nsubj	['người ta', 'nói']	[1, 2]
?	sách	sách	N	obl:comp	['sách', 'nói']	[4, 2]
?	trong	trong	ADV	case	['trong', 'sách']	[3, 4]
?	nuốt chửng	nuốt chửng	VERB	parataxis	['nuốt chửng', 'nói']	[9, 2]
?	trăn	trăn	N	nsubj	['trăn', 'nuốt chửng']	[8, 9]
?	con	con	N	det:clf	['con', 'trăn']	[7, 8]
?	mồi	mồi	N	obj	['mồi', 'nuốt chửng']	[12, 9]
?	cả	cả	PRT	discourse	['cả', 'mồi']	[10, 12]
?	con	con	N	det:clf	['con', 'mồi']	[11, 12]
?	nhai	nhai	VERB	conj	['nhai', 'nuốt chửng']	[15, 9]
?	mà	mà	SCONJ	mark	['mà', 'nhai']	[13, 15]
?	không	không	ADV	advmod:neg	['không', 'nhai']	[14, 15]

?	thấy	thấy	VERB	root	['thấy', 'ROOT']	[4, 0]
?	và	và	CONJ	cc	['và', 'thấy']	[1, 4]
?	bạn	bạn	N	nsubj	['bạn', 'thấy']	[2, 4]
?	sẽ	sẽ	ADV	advmod	['sẽ', 'thấy']	[3, 4]
?	thay đổi	thay đổi	VERB	ccomp	['thay đổi', 'thấy']	[7, 4]
?	tất cả	tất cả	DET	nsubj	['tất cả', 'thay đổi']	[5, 7]
?	đều	đều	ADV	advmod	['đều', 'thay đổi']	[6, 7]

?	hỏi	hỏi	VERB	root	['hỏi', 'ROOT']	[3, 0]
?	hãy	hãy	ADV	advmod	['hãy', 'hỏi']	[1, 3]
?	tự	tự	PROPN	advmod	['tự', 'hỏi']	[2, 3]
?	ăn	ăn	VERB	parataxis	['ăn', 'hỏi']	[9, 3]
?	cừu	cừu	N	nsubj	['cừu', 'ăn']	[6, 9]
?	con	con	N	det:clf	['con', 'cừu']	[5, 6]
?	đã	đã	ADV	advmod	['đã', 'ăn']	[7, 9]
