# ::id 1
# ::snt hoàng tử bé Saint-Exupéry ( Vĩnh Lạc dịch )
root	hoàng tử	hoàng tử	N	root	['hoàng tử', 'ROOT']	['1', '0']
:?	bé	bé	ADJ	amod	['bé', 'hoàng tử']	['2', '1']
:?	Saint-Exupéry	saint-exupéry	PROPN	nmod	['saint-exupéry', 'hoàng tử']	['3', '1']
:?	dịch	dịch	VERB	appos:nmod	['dịch', 'saint-exupéry']	['7', '3']
:ARG0	Vĩnh	vĩnh	PROPN	nsubj	['vĩnh', 'dịch']	['5', '7']
:?	Lạc	lạc	PROPN	flat:name	['lạc', 'vĩnh']	['6', '5']

# ::id 2
# ::snt đây là bản sao của bức tranh đó .
root	bản sao	bản sao	N	root	['bản sao', 'ROOT']	['3', '0']
:domain	đây	đây	PROPN	nsubj	['đây', 'bản sao']	['1', '3']
*	là	là	AUX	cop	['là', 'bản sao']	['2', '3']
:poss	tranh	tranh	N	nmod:poss	['tranh', 'bản sao']	['6', '3']
*	của	của	ADV	case	['của', 'tranh']	['4', '6']
:classifier	bức	bức	N	det:clf	['bức', 'tranh']	['5', '6']
:domain	đó	đó	PROPN	det:pmod	['đó', 'tranh']	['7', '6']

# ::id 3
# ::snt họ trả lời :
root	trả lời	trả lời	VERB	root	['trả lời', 'ROOT']	['2', '0']
:ARG0	họ	họ	PROPN	nsubj	['họ', 'trả lời']	['1', '2']

# ::id 4
# ::snt bức vẽ của tôi không vẽ một cái mũ .
root	vẽ	vẽ	VERB	root	['vẽ', 'ROOT']	['6', '0']
:ARG0	bức	bức	N	nsubj	['bức', 'vẽ']	['1', '6']
:?	vẽ	vẽ	VERB	acl:tonp	['vẽ', 'bức']	['2', '1']
:ARG0	tôi	tôi	PROPN	nmod:poss	['tôi', 'bức']	['4', '1']
*	của	của	ADV	case	['của', 'tôi']	['3', '4']
:polarity	không	không	ADV	advmod:neg	['không', 'vẽ']	['5', '6']
:topic	mũ	mũ	N	obj	['mũ', 'vẽ']	['9', '6']
*	một	một	NUM	nummod	['một', 'mũ']	['7', '9']
:classifier	cái	cái	N	clf	['cái', 'một']	['8', '7']

# ::id 5
# ::snt người ta nói trong sách : " con trăn nuốt chửng cả con mồi mà không nhai .
root	nói	nói	VERB	root	['nói', 'ROOT']	['2', '0']
:ARG0	người ta	người ta	N	nsubj	['người ta', 'nói']	['1', '2']
:ARG2	sách	sách	N	obl:comp	['sách', 'nói']	['4', '2']
:domain	trong	trong	ADV	case	['trong', 'sách']	['3', '4']
:ARG0	nuốt chửng	nuốt chửng	VERB	parataxis	['nuốt chửng', 'nói']	['9', '2']
:ARG0-of	trăn	trăn	N	nsubj	['trăn', 'nuốt chửng']	['8', '9']
:classifier	con	con	N	det:clf	['con', 'trăn']	['7', '8']
:ARG1	mồi	mồi	N	obj	['mồi', 'nuốt chửng']	['12', '9']
*	cả	cả	PRT	discourse	['cả', 'mồi']	['10', '12']
:classifier	con	con	N	det:clf	['con', 'mồi']	['11', '12']
:?	nhai	nhai	VERB	conj	['nhai', 'nuốt chửng']	['15', '9']
*	mà	mà	SCONJ	mark	['mà', 'nhai']	['13', '15']
:polarity	không	không	ADV	advmod:neg	['không', 'nhai']	['14', '15']

# ::id 6
# ::snt và bạn sẽ thấy tất cả đều thay đổi ...
root	thấy	thấy	VERB	root	['thấy', 'ROOT']	['4', '0']
*	và	và	CONJ	cc	['và', 'thấy']	['1', '4']
:ARG0	bạn	bạn	N	nsubj	['bạn', 'thấy']	['2', '4']
:tense	sẽ	sẽ	ADV	advmod	['sẽ', 'thấy']	['3', '4']
:ARG0-of	thay đổi	thay đổi	VERB	ccomp	['thay đổi', 'thấy']	['7', '4']
:ARG0	tất cả	tất cả	DET	nsubj	['tất cả', 'thay đổi']	['5', '7']
